adx,sl,trail,activation,ts,trades,win_rate,pf,ret,dd,final_eq
22,1.0,1.0,2.0,8,51,47.06,1.06,0.45,-7.59,200.9
22,1.0,1.0,2.0,12,51,47.06,1.08,0.88,-7.59,201.76
22,1.0,1.0,2.0,16,51,47.06,1.06,0.37,-7.59,200.74
22,1.0,1.2,1.0,8,51,37.25,0.98,-1.26,-7.57,197.49
22,1.0,1.2,1.0,12,51,35.29,1.09,1.2,-7.57,202.4
22,1.0,1.2,1.0,16,51,35.29,1.08,0.91,-7.57,201.83
22,1.0,1.2,1.5,8,51,37.25,0.98,-1.26,-7.57,197.49
22,1.0,1.2,1.5,12,51,35.29,1.09,1.2,-7.57,202.4
22,1.0,1.2,1.5,16,51,35.29,1.08,0.91,-7.57,201.83
22,1.0,1.2,2.0,8,51,37.25,0.98,-1.26,-7.57,197.49
22,1.0,1.2,2.0,12,51,35.29,1.09,1.2,-7.57,202.4
22,1.0,1.2,2.0,16,51,35.29,1.08,0.91,-7.57,201.83
22,1.5,0.8,1.0,8,51,47.06,1.08,0.51,-4.54,201.02
22,1.5,0.8,1.0,12,51,47.06,1.0,-0.5,-4.87,199.01
22,1.5,0.8,1.0,16,51,47.06,0.98,-0.72,-4.87,198.56
22,1.5,0.8,1.5,8,51,47.06,1.08,0.51,-4.54,201.02
22,1.5,0.8,1.5,12,51,47.06,1.0,-0.5,-4.87,199.01
22,1.5,0.8,1.5,16,51,47.06,0.98,-0.72,-4.87,198.56
22,1.5,0.8,2.0,8,51,47.06,1.08,0.51,-4.54,201.02
22,1.5,0.8,2.0,12,51,47.06,1.0,-0.5,-4.87,199.01
22,1.5,0.8,2.0,16,51,47.06,0.98,-0.72,-4.87,198.56
22,1.5,1.0,1.0,8,51,47.06,1.03,-0.12,-5.12,199.76
22,1.5,1.0,1.0,12,50,48.0,1.01,-0.34,-5.55,199.32
22,1.5,1.0,1.0,16,50,48.0,0.99,-0.68,-5.55,198.64
22,1.5,1.0,1.5,8,51,47.06,1.03,-0.12,-5.12,199.76
22,1.5,1.0,1.5,12,50,48.0,1.01,-0.34,-5.55,199.32
22,1.5,1.0,1.5,16,50,48.0,0.99,-0.68,-5.55,198.64
22,1.5,1.0,2.0,8,51,47.06,1.03,-0.12,-5.12,199.76
22,1.5,1.0,2.0,12,50,48.0,1.01,-0.34,-5.55,199.32
22,1.5,1.0,2.0,16,50,48.0,0.99,-0.68,-5.55,198.64
22,1.5,1.2,1.0,8,51,41.18,0.98,-0.78,-4.81,198.45
22,1.5,1.2,1.0,12,50,42.0,1.11,1.09,-4.64,202.19
22,1.5,1.2,1.0,16,50,40.0,1.06,0.4,-4.64,200.8
22,1.5,1.2,1.5,8,51,41.18,0.98,-0.78,-4.81,198.45
22,1.5,1.2,1.5,12,50,42.0,1.11,1.09,-4.64,202.19
22,1.5,1.2,1.5,16,50,40.0,1.06,0.4,-4.64,200.8
22,1.5,1.2,2.0,8,51,41.18,0.98,-0.78,-4.81,198.45
22,1.5,1.2,2.0,12,50,42.0,1.11,1.09,-4.64,202.19
22,1.5,1.2,2.0,16,50,40.0,1.06,0.4,-4.64,200.8
22,2.0,0.8,1.0,8,51,47.06,1.04,-0.01,-3.58,199.99
22,2.0,0.8,1.0,12,51,47.06,0.95,-0.86,-3.93,198.27
22,2.0,0.8,1.0,16,51,47.06,0.93,-1.03,-3.93,197.94
22,2.0,0.8,1.5,8,51,47.06,1.04,-0.01,-3.58,199.99
22,2.0,0.8,1.5,12,51,47.06,0.95,-0.86,-3.93,198.27
22,2.0,0.8,1.5,16,51,47.06,0.93,-1.03,-3.93,197.94
22,2.0,0.8,2.0,8,51,47.06,1.04,-0.01,-3.58,199.99
22,2.0,0.8,2.0,12,51,47.06,0.95,-0.86,-3.93,198.27
22,2.0,0.8,2.0,16,51,47.06,0.93,-1.03,-3.93,197.94
22,2.0,1.0,1.0,8,51,47.06,1.02,-0.18,-3.73,199.64
22,2.0,1.0,1.0,12,50,48.0,0.97,-0.73,-4.43,198.54
22,2.0,1.0,1.0,16,50,48.0,0.94,-1.01,-4.45,197.99
22,2.0,1.0,1.5,8,51,47.06,1.02,-0.18,-3.73,199.64
22,2.0,1.0,1.5,12,50,48.0,0.97,-0.73,-4.43,198.54
22,2.0,1.0,1.5,16,50,48.0,0.94,-1.01,-4.45,197.99
22,2.0,1.0,2.0,8,51,47.06,1.02,-0.18,-3.73,199.64
22,2.0,1.0,2.0,12,50,48.0,0.97,-0.73,-4.43,198.54
22,2.0,1.0,2.0,16,50,48.0,0.94,-1.01,-4.45,197.99
22,2.0,1.2,1.0,8,51,41.18,0.97,-0.68,-3.62,198.63
22,2.0,1.2,1.0,12,50,42.0,1.06,0.36,-3.77,200.72
22,2.0,1.2,1.0,16,50,40.0,1.05,0.19,-3.43,200.39
22,2.0,1.2,1.5,8,51,41.18,0.97,-0.68,-3.62,198.63
22,2.0,1.2,1.5,12,50,42.0,1.06,0.36,-3.77,200.72
22,2.0,1.2,1.5,16,50,40.0,1.05,0.19,-3.43,200.39
22,2.0,1.2,2.0,8,51,41.18,0.97,-0.68,-3.62,198.63
22,2.0,1.2,2.0,12,50,42.0,1.06,0.36,-3.77,200.72
22,2.0,1.2,2.0,16,50,40.0,1.05,0.19,-3.43,200.39
25,1.0,0.8,1.0,8,41,48.78,0.93,-1.05,-5.37,197.9
25,1.0,0.8,1.0,12,41,48.78,0.9,-1.41,-5.37,197.18
25,1.0,0.8,1.0,16,41,48.78,0.88,-1.74,-5.37,196.52
25,1.0,0.8,1.5,8,41,48.78,0.93,-1.05,-5.37,197.9
25,1.0,0.8,1.5,12,41,48.78,0.9,-1.41,-5.37,197.18
25,1.0,0.8,1.5,16,41,48.78,0.88,-1.74,-5.37,196.52
25,1.0,0.8,2.0,8,41,48.78,0.93,-1.05,-5.37,197.9
25,1.0,0.8,2.0,12,41,48.78,0.9,-1.41,-5.37,197.18
25,1.0,0.8,2.0,16,41,48.78,0.88,-1.74,-5.37,196.52
25,1.0,1.0,1.0,8,41,46.34,0.79,-3.49,-6.65,193.02
25,1.0,1.0,1.0,12,41,46.34,0.92,-1.24,-6.65,197.52
25,1.0,1.0,1.0,16,41,46.34,0.88,-1.74,-6.65,196.52
25,1.0,1.0,1.5,8,41,46.34,0.79,-3.49,-6.65,193.02
25,1.0,1.0,1.5,12,41,46.34,0.92,-1.24,-6.65,197.52
25,1.0,1.0,1.5,16,41,46.34,0.88,-1.74,-6.65,196.52
25,1.0,1.0,2.0,8,41,46.34,0.79,-3.49,-6.65,193.02
25,1.0,1.0,2.0,12,41,46.34,0.92,-1.24,-6.65,197.52
25,1.0,1.0,2.0,16,41,46.34,0.88,-1.74,-6.65,196.52
25,1.0,1.2,1.0,8,41,34.15,0.76,-4.3,-6.64,191.41
25,1.0,1.2,1.0,12,41,34.15,0.91,-1.44,-6.64,197.12
25,1.0,1.2,1.0,16,41,34.15,0.9,-1.72,-6.64,196.56
25,1.0,1.2,1.5,8,41,34.15,0.76,-4.3,-6.64,191.41
25,1.0,1.2,1.5,12,41,34.15,0.91,-1.44,-6.64,197.12
25,1.0,1.2,1.5,16,41,34.15,0.9,-1.72,-6.64,196.56
25,1.0,1.2,2.0,8,41,34.15,0.76,-4.3,-6.64,191.41
25,1.0,1.2,2.0,12,41,34.15,0.91,-1.44,-6.64,197.12
25,1.0,1.2,2.0,16,41,34.15,0.9,-1.72,-6.64,196.56
25,1.5,0.8,1.0,8,41,48.78,0.91,-0.84,-3.58,198.32
25,1.5,0.8,1.0,12,41,48.78,0.86,-1.42,-3.91,197.16
25,1.5,0.8,1.0,16,41,48.78,0.83,-1.64,-3.91,196.73
25,1.5,0.8,1.5,8,41,48.78,0.91,-0.84,-3.58,198.32
25,1.5,0.8,1.5,12,41,48.78,0.86,-1.42,-3.91,197.16
25,1.5,0.8,1.5,16,41,48.78,0.83,-1.64,-3.91,196.73
25,1.5,0.8,2.0,8,41,48.78,0.91,-0.84,-3.58,198.32
25,1.5,0.8,2.0,12,41,48.78,0.86,-1.42,-3.91,197.16
25,1.5,0.8,2.0,16,41,48.78,0.83,-1.64,-3.91,196.73
25,1.5,1.0,1.0,8,41,46.34,0.79,-2.27,-4.16,195.47
25,1.5,1.0,1.0,12,41,46.34,0.85,-1.57,-4.59,196.86
25,1.5,1.0,1.0,16,41,46.34,0.82,-1.91,-4.59,196.19
25,1.5,1.0,1.5,8,41,46.34,0.79,-2.27,-4.16,195.47
25,1.5,1.0,1.5,12,41,46.34,0.85,-1.57,-4.59,196.86
25,1.5,1.0,1.5,16,41,46.34,0.82,-1.91,-4.59,196.19
25,1.5,1.0,2.0,8,41,46.34,0.79,-2.27,-4.16,195.47
25,1.5,1.0,2.0,12,41,46.34,0.85,-1.57,-4.59,196.86
